Чистые пруды | Чистые⏎пруды | x=1080.1367 | y=603.2910 | align=right | imp=2 | w=57.7600 | h=37.9200 | rect=1022.3767,584.3310,1080.1367,622.2510 | zone=180.7942 | anchor=1085.7503,629.7010 | ids=1/chistye-prudy+10/sretenskiy-bulvar+6/turgenevskaya
Тургеневская | Тургеневская | x=981.7452 | y=558.5075 | align=left | imp=2 | w=104.5600 | h=18.0000 | rect=981.7452,549.5075,1086.3052,567.5075 | zone=180.7942 | anchor=1085.7503,629.7010 | ids=1/chistye-prudy+10/sretenskiy-bulvar+6/turgenevskaya
Кропоткинская | Кропоткинская | x=783.7604 | y=943.0645 | align=left | imp=2 | w=113.1200 | h=18.0000 | rect=783.7604,934.0645,896.8804,952.0645 | zone=195.7450 | anchor=819.1701,895.5602 | ids=1/kropotkinskaya
Маяковская | Маяковская | x=810.3792 | y=654.8195 | align=right | imp=2 | w=90.1600 | h=18.0000 | rect=720.2192,645.8195,810.3792,663.8195 | zone=203.4147 | anchor=800.6175,632.8944 | ids=2/mayakovskaya
Полянка | Полянка | x=911.7745 | y=991.9556 | align=left | imp=2 | w=61.7600 | h=18.0000 | rect=911.7745,982.9556,973.5345,1000.9556 | zone=203.6415 | anchor=975.3529,962.5139 | ids=9/polyanka
Смоленская | Смоленская | x=683.9410 | y=806.1593 | align=left | imp=2 | w=92.0000 | h=18.0000 | rect=683.9410,797.1593,775.9410,815.1593 | zone=203.7441 | anchor=768.0461,828.1593 | ids=3/smolenskaya
Смоленская | Смоленская | x=712.8957 | y=889.4594 | align=left | imp=2 | w=92.0000 | h=18.0000 | rect=712.8957,880.4594,804.8957,898.4594 | zone=210.6064 | anchor=768.0438,846.4209 | ids=4/smolenskaya
Сухаревская | Сухаревская | x=992.3651 | y=540.4733 | align=left | imp=2 | w=96.0000 | h=18.0000 | rect=992.3651,531.4733,1088.3651,549.4733 | zone=218.2494 | anchor=1084.9538,580.6212 | ids=6/sukharevskaya
Красные Ворота | Красные⏎Ворота | x=1122.4695 | y=628.5718 | align=left | imp=2 | w=66.3200 | h=37.9200 | rect=1122.4695,609.6118,1188.7895,647.5318 | zone=233.1529 | anchor=1128.8643,598.8460 | ids=1/krasnye-vorota
Новослободская | Новослободская | x=853.4774 | y=491.9404 | align=right | imp=2 | w=121.6800 | h=18.0000 | rect=731.7974,482.9404,853.4774,500.9404 | zone=266.8789 | anchor=850.9687,515.8089 | ids=5/novoslobodskaya+9/mendeleevskaya
Таганская | Таганская | x=1217.0327 | y=909.0547 | align=left | imp=2 | w=78.8800 | h=18.0000 | rect=1217.0327,900.0547,1295.9127,918.0547 | zone=272.7359 | anchor=1202.5327,883.9400 | ids=5/taganskaya+7/taganskaya+8/marksistskaya
Чкаловская | Чкаловская | x=1222.4577 | y=723.5120 | align=right | imp=2 | w=87.4400 | h=18.0000 | rect=1135.0177,714.5120,1222.4577,732.5120 | zone=276.9414 | anchor=1234.4577,723.5120 | ids=10/chkalovskaya+3/kurskaya+5/kurskaya
Краснопресненская | Краснопресненская | x=613.0316 | y=624.1431 | align=left | imp=2 | w=147.3600 | h=18.0000 | rect=613.0316,615.1431,760.3916,633.1431 | zone=278.4297 | anchor=698.9049,662.3763 | ids=5/krasnopresnenskaya+7/barrikadnaya
Серпуховская | Серпуховская | x=1003.6241 | y=980.8910 | align=left | imp=2 | w=104.5600 | h=18.0000 | rect=1003.6241,971.8910,1108.1841,989.8910 | zone=280.5913 | anchor=1026.4014,1032.0496 | ids=5/dobryninskaya+9/serpukhovskaya
